Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 1303, 9, 28, 1482, 5712, 555, 9451
Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 20, 6, 23, 356, 392, 356, 1480
Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 11, 6, 21, 289, 353, 307, 1318
