Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
124, 281, 3, 12, 421, 938, 1956, 3820
125, 396, 4, 11, 438, 1063, 1812, 3940
126, 252, 4, 10, 452, 959, 1642, 3524
127, 379, 4, 11, 446, 920, 1946, 3922
128, 268, 3, 10, 427, 959, 1394, 3273
129, 417, 3, 12, 432, 959, 1731, 3774
130, 302, 3, 10, 420, 998, 1919, 3854
131, 409, 3, 10, 467, 1011, 1557, 3681
132, 308, 3, 10, 457, 990, 1816, 3797
133, 433, 4, 9, 457, 1030, 1593, 3737
134, 247, 4, 10, 433, 983, 2977, 4861
135, 395, 3, 10, 439, 982, 1130, 3171
136, 274, 3, 11, 426, 989, 2140, 4046
137, 418, 4, 10, 418, 1029, 1629, 3717
138, 263, 3, 11, 425, 933, 2060, 3901
139, 383, 3, 11, 420, 953, 1188, 3167
140, 278, 4, 10, 394, 944, 2072, 3901
141, 351, 3, 10, 439, 943, 1190, 3137
142, 258, 2, 9, 403, 952, 2126, 3946
143, 393, 4, 9, 423, 1052, 2033, 4118
144, 293, 4, 9, 442, 1079, 2025, 4086
145, 385, 4, 11, 424, 991, 1649, 3675
146, 296, 3, 9, 459, 957, 2006, 3944
147, 417, 4, 11, 423, 967, 2052, 4089
148, 305, 3, 9, 446, 1081, 1363, 3418
149, 396, 4, 10, 473, 1014, 1536, 3647
150, 288, 3, 11, 421, 964, 2244, 4137
151, 440, 3, 10, 446, 1014, 1475, 3603
152, 335, 4, 10, 440, 1013, 1442, 3454
153, 425, 4, 11, 428, 966, 1529, 3581
154, 320, 3, 10, 440, 927, 1763, 3675
155, 456, 4, 11, 433, 1035, 1922, 4081
156, 338, 3, 11, 448, 1010, 1950, 3975
157, 370, 4, 11, 419, 977, 2085, 4084
158, 284, 4, 11, 439, 968, 2063, 3986
159, 403, 4, 11, 431, 1010, 1968, 4054
160, 310, 4, 10, 495, 994, 1406, 3448
161, 362, 4, 12, 457, 1077, 1424, 3561
162, 299, 4, 9, 454, 961, 1255, 3187
163, 393, 3, 10, 461, 1064, 1401, 3550
164, 289, 4, 12, 455, 1023, 2205, 4202
165, 381, 3, 10, 454, 1026, 1421, 3520
166, 286, 4, 11, 445, 1015, 2020, 3990
167, 406, 3, 11, 442, 1028, 1944, 4050
168, 288, 4, 11, 429, 987, 1795, 3722
169, 425, 4, 12, 436, 1010, 1908, 4013
170, 271, 4, 12, 433, 956, 2141, 4030
171, 392, 4, 11, 425, 988, 1950, 3989
172, 335, 4, 11, 425, 925, 2336, 4249
173, 388, 4, 11, 439, 1007, 1432, 3495
174, 372, 4, 11, 460, 1007, 1985, 4043
175, 388, 3, 10, 427, 982, 1665, 3696
176, 269, 4, 11, 446, 984, 1339, 3261
177, 408, 4, 12, 427, 1025, 1365, 3457
178, 281, 3, 10, 441, 965, 1672, 3593
179, 406, 4, 12, 455, 1079, 1232, 3414
180, 343, 4, 10, 488, 1062, 1945, 4066
181, 385, 4, 12, 454, 976, 1917, 3970
182, 261, 3, 12, 434, 937, 1460, 3325
183, 402, 4, 12, 434, 970, 1355, 3396
184, 283, 4, 10, 433, 1006, 1718, 3662
185, 405, 4, 12, 476, 1078, 1161, 3359
186, 251, 4, 11, 466, 974, 1838, 3763
187, 374, 3, 10, 448, 1008, 1880, 3943
188, 276, 4, 10, 401, 1005, 1509, 3405
189, 442, 3, 12, 416, 889, 1061, 3041
190, 270, 4, 10, 463, 1082, 1711, 3744
191, 433, 4, 11, 405, 947, 1303, 3311
192, 249, 3, 9, 447, 1003, 2219, 4135
193, 447, 3, 9, 424, 959, 1871, 3925
194, 284, 3, 9, 426, 970, 1975, 3870
195, 445, 3, 10, 411, 961, 1847, 3882
196, 281, 3, 12, 437, 943, 1297, 3178
197, 450, 3, 12, 417, 972, 1818, 3885
198, 277, 3, 11, 462, 1064, 2149, 4185
199, 460, 4, 10, 434, 987, 1740, 3852
200, 278, 3, 10, 412, 987, 1652, 3550
201, 399, 3, 11, 435, 964, 1143, 3181
202, 266, 4, 11, 433, 1052, 1881, 3865
203, 419, 4, 11, 436, 996, 2071, 4156
204, 277, 4, 12, 459, 1081, 1548, 3595
205, 405, 4, 11, 433, 968, 2091, 4135
206, 265, 4, 11, 456, 1031, 1933, 3914
207, 473, 4, 11, 442, 976, 1980, 4103
208, 284, 4, 10, 434, 979, 1279, 3204
209, 406, 5, 11, 417, 920, 1825, 3804
210, 278, 4, 12, 454, 1048, 1929, 3950
211, 385, 4, 12, 481, 1029, 1927, 4053
212, 331, 4, 10, 445, 976, 1706, 3678
213, 382, 3, 11, 409, 919, 1144, 3075
214, 297, 3, 9, 402, 980, 2053, 3941
215, 422, 3, 11, 416, 912, 1867, 3837
216, 307, 3, 11, 442, 1020, 2260, 4243
217, 375, 4, 10, 467, 986, 1749, 3809
