,count,mean,std,min,25%,50%,75%,max,median
Index,785.0,460.65222929936306,247.80100243832192,1.0,254.0,474.0,670.0,883.0,474.0
 Checkpoint Creation,785.0,1825.6866242038216,1038.9519879681657,136.0,186.0,2402.0,2533.0,3130.0,2402.0
 Checkpoint Location,785.0,6.499363057324841,0.9544803596993838,3.0,6.0,6.0,7.0,10.0,6.0
 Permission Change,785.0,18.05732484076433,1.949103791360774,10.0,17.0,18.0,19.0,25.0,18.0
 Image Creation,785.0,2321.131210191083,156.13071563266223,1780.0,2233.0,2313.0,2406.0,2835.0,2313.0
 Image Push,785.0,8014.458598726114,3211.532105621764,2486.0,3097.0,9764.0,10217.0,11498.0,9764.0
 Pod Ready,785.0,3852.4547770700638,1087.2402578883828,496.0,2899.0,4111.0,4469.0,15445.0,4111.0
 Total,785.0,16353.284076433121,5089.527729540223,7937.0,9142.0,19196.0,19922.0,30297.0,19196.0
