Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
229,1982,6,20,2275,9265,4267,18131
335,2410,6,18,2372,9539,3478,18128
127,2413,6,18,2230,9329,3828,18124
347,2412,5,17,2252,9257,3860,18117
225,2434,6,18,2018,9560,3696,18014
497,2042,6,17,2169,9427,3960,17924
240,2339,4,12,1852,8375,4698,17504
243,2437,4,11,1808,8414,4582,17475
222,2506,5,11,2111,8331,4221,17410
254,2489,5,12,2031,8463,4172,17401
250,2319,4,10,1864,9009,3969,17399
249,2387,4,10,1803,7995,4991,17398
239,2730,3,10,1855,8625,3964,17397
236,2863,5,12,2134,8265,3889,17394
234,2481,5,15,1983,8301,4398,17392
237,2653,4,11,1868,8280,4358,17392
258,2470,4,13,1874,8824,3971,17391
220,2539,3,10,1817,8678,4130,17388
257,2609,4,12,2118,8152,4279,17388
219,2549,4,15,1962,8556,4077,17378
242,2645,3,11,1842,8647,4003,17366
253,2119,6,17,1991,8262,4713,17355
217,2061,5,16,2273,8480,4225,17306
238,2420,6,18,2120,8315,4087,17239
252,2417,4,12,1827,8304,4445,17232
221,2318,7,18,2213,8702,3601,17142
256,2229,4,12,1826,7854,4381,16514
224,2556,3,10,1851,8262,3606,16501
255,2443,3,11,1862,8221,3663,16417
162,2428,4,11,1802,7890,4063,16411
248,2560,4,10,1806,8085,3725,16402
241,2453,4,11,1868,8139,3697,16391
223,2486,4,12,1823,8033,3814,16388
218,2481,3,10,1780,8138,3749,16379
235,2396,4,11,1936,8241,3577,16379
1,2547,5,17,2575,9851,496,15801
577,176,7,19,2479,3116,3139,9275
706,173,7,21,2212,2923,3566,9222
700,167,6,19,2687,3091,2897,9217
645,171,7,17,2503,3131,3043,9200
718,160,6,17,2446,3095,3172,9197
574,181,7,19,2440,2979,3214,9193
661,173,6,17,2633,3025,2997,9185
673,176,7,18,2457,3237,2942,9185
655,180,7,18,2572,3097,2968,9184
592,159,7,19,2436,3098,3120,9180
684,189,7,21,2593,3222,2787,9180
581,171,7,21,2503,3645,2486,9175
573,215,7,18,2509,3412,2683,9164
644,164,7,19,2723,3090,2828,9163
576,170,6,20,2625,3081,2906,9158
674,180,6,16,2589,3161,2853,9157
663,175,8,21,2639,3182,2797,9155
699,165,7,21,2778,2824,2999,9153
682,173,9,19,2527,2807,3262,9151
578,171,8,19,2713,2906,2980,9150
631,157,7,17,2574,2975,3076,9148
646,191,9,18,2579,3250,2731,9145
632,160,7,19,2496,3011,3132,9142
667,187,8,20,2492,3049,3032,9132
659,186,7,20,2334,3199,3037,9130
665,172,7,20,2667,3167,2753,9130
648,164,7,22,2649,2983,2942,9127
662,181,8,19,2593,3068,2899,9126
677,186,8,21,2683,2984,2881,9126
719,153,5,12,2393,2736,2790,8396
591,163,7,20,2432,3022,2394,8364
540,179,5,17,2238,2745,2870,8363
656,168,5,13,2145,2818,2910,8363
517,136,6,17,2066,2797,3054,8357
563,165,6,16,2206,2865,2778,8352
562,167,5,16,2289,2872,2700,8351
583,169,7,21,2392,2792,2636,8349
589,194,6,18,2408,2877,2509,8349
587,171,8,15,2292,2773,2763,8347
541,175,5,15,2108,2636,3111,8343
712,174,6,18,2304,2792,2736,8336
523,170,6,17,2249,2699,2881,8331
528,179,6,17,2269,2943,2592,8324
561,164,6,17,2179,2704,2921,8305
538,172,6,17,2379,2860,2544,8304
539,187,7,18,2332,3029,2407,8296
675,166,7,19,2412,3240,2116,8284
634,179,7,18,2428,2962,2359,8275
649,170,7,20,2405,2847,2499,8274
732,168,7,20,2411,2951,2395,8274
702,169,7,23,2403,2955,2365,8273
695,176,7,16,2444,3053,2218,8259
721,152,6,16,2318,3001,2447,8253
549,158,6,18,2371,2934,2436,8249
564,154,6,16,2243,2769,2742,8241
654,169,8,21,2345,2890,2466,8240
532,185,6,17,2267,2632,2831,8239
727,181,6,18,2259,2815,2657,8239
711,163,6,17,2435,2962,2330,8238
519,173,6,16,2136,2653,2947,8234
559,157,6,18,2423,2903,2407,8233
689,181,6,18,2549,2926,2235,8233
545,157,6,15,2250,2876,2596,8232
522,169,5,17,2453,2771,2504,8230
557,172,6,16,2290,2752,2682,8227
544,174,6,17,2412,2800,2512,8225
585,170,8,18,2237,3281,2173,8225
617,170,6,17,2224,3195,2289,8224
722,205,6,17,2365,2851,2458,8223
535,166,5,17,2233,2646,2879,8220
569,166,6,19,2447,2830,2430,8220
601,154,7,17,2430,2825,2453,8220
548,163,8,17,2433,2831,2418,8219
598,167,7,18,2294,2903,2497,8219
608,178,8,17,2356,2772,2561,8219
714,190,6,17,2177,2859,2648,8219
653,188,7,20,2253,2853,2527,8218
543,183,6,16,2523,2649,2527,8216
666,171,8,18,2514,2849,2324,8215
726,150,6,17,2390,2960,2384,8215
527,174,6,16,2266,2708,2739,8211
560,175,6,17,2328,2774,2601,8211
629,165,6,16,2564,2800,2321,8211
723,162,7,17,2472,2770,2470,8210
606,170,7,19,2336,3038,2295,8209
607,169,6,17,2227,2835,2617,8208
729,168,7,19,2438,2730,2506,8207
531,169,6,18,2134,2789,2775,8206
725,166,6,16,2309,2758,2630,8206
534,177,6,16,2319,2713,2664,8205
537,158,6,16,2298,2625,2787,8205
724,227,6,18,2244,2812,2591,8205
615,156,6,20,2251,2901,2514,8204
717,177,6,17,2177,2834,2691,8204
590,172,7,16,2110,2817,2751,8203
691,165,6,17,2503,2991,2184,8203
716,215,6,16,2257,2895,2506,8203
720,164,5,17,2370,2875,2452,8203
524,173,6,18,2342,2965,2384,8202
530,175,6,16,2355,2833,2504,8201
728,177,6,16,2381,2912,2387,8201
733,175,6,18,2144,2833,2688,8201
518,173,6,17,2233,2644,2819,8200
520,181,6,16,2225,2724,2746,8200
546,162,6,17,2473,2912,2319,8200
542,171,6,17,2195,2826,2660,8199
568,163,7,21,2452,2970,2255,8199
623,173,8,18,2437,2993,2233,8199
658,219,7,19,2373,3020,2248,8199
669,163,8,21,2250,3035,2368,8199
521,167,6,18,2133,2793,2781,8198
529,177,6,17,2321,2827,2549,8198
552,170,7,22,2317,2780,2567,8198
643,164,6,17,2265,2957,2451,8197
710,154,7,16,2341,2876,2478,8197
526,179,6,17,2170,2752,2760,8196
641,136,7,18,2290,3396,2029,8196
713,154,6,17,2306,2721,2683,8196
593,166,8,18,2282,2981,2413,8195
533,170,6,16,2344,2688,2648,8193
599,162,7,19,2318,2936,2414,8193
614,175,6,17,2295,2879,2500,8193
525,185,6,16,2303,2715,2632,8192
567,164,7,21,2159,2881,2641,8192
536,173,6,16,2300,2681,2712,8191
697,158,6,17,2361,3071,2253,8191
555,169,7,18,2501,2905,2266,8190
626,154,6,22,2390,2895,2397,8190
715,184,6,17,2182,2805,2710,8190
603,171,7,17,2473,2802,2386,8188
611,163,6,18,2355,2937,2396,8188
638,170,7,17,2293,3020,2337,8188
657,168,6,17,2425,3068,2167,8187
565,181,6,19,2328,2804,2525,8186
619,172,7,17,2367,2938,2347,8185
686,170,7,18,2314,3206,2136,8185
594,172,6,19,2499,2900,2245,8184
612,161,7,19,2473,3012,2186,8184
572,169,6,18,2269,2966,2392,8183
676,168,7,19,2369,2933,2363,8183
575,167,7,18,2484,2784,2371,8182
610,160,8,21,2313,2911,2434,8182
604,164,7,18,2515,2791,2349,8181
571,162,7,19,2375,2891,2391,8180
639,154,7,21,2357,2795,2507,8180
566,157,7,17,2459,3114,2090,8178
570,159,7,18,2299,3056,2301,8178
580,165,7,17,2508,2981,2164,8178
652,181,7,20,2344,3054,2246,8178
679,166,7,17,2466,3129,2068,8178
613,172,8,18,2222,3049,2378,8176
628,164,7,22,2328,3011,2298,8176
635,150,7,19,2238,2978,2465,8176
693,169,7,21,2420,3002,2224,8176
708,179,7,17,2413,2919,2300,8176
547,155,6,18,2290,2880,2501,8175
551,160,7,17,2315,2670,2672,8175
553,163,8,19,2313,2894,2483,8175
647,184,7,19,2455,2814,2375,8175
616,165,7,18,2317,2957,2378,8174
683,188,8,18,2498,3018,2133,8174
688,177,6,19,2418,3016,2204,8174
584,158,8,21,2408,2964,2288,8173
586,158,7,18,2221,2901,2559,8173
600,169,7,20,2340,2670,2637,8173
550,160,6,17,2337,2812,2520,8172
633,175,7,19,2393,2926,2331,8172
660,175,8,21,2542,3057,2024,8172
588,171,7,20,2390,3159,2112,8171
602,174,8,18,2411,2927,2307,8171
605,201,7,18,2459,2923,2227,8171
