Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
62, 2491, 3, 14, 1800, 9150, 4306, 17980
63, 2262, 4, 12, 1783, 9128, 4540, 17940
64, 2322, 4, 14, 1862, 9145, 4390, 17944
65, 2427, 3, 12, 1883, 9303, 5101, 18957
66, 2436, 4, 13, 1860, 9236, 4183, 17939
67, 2395, 4, 11, 1824, 9080, 4425, 17966
68, 2461, 4, 12, 2006, 9298, 3903, 17931
69, 2010, 3, 11, 1907, 9410, 4402, 17968
70, 2293, 3, 12, 1825, 9093, 4485, 17925
71, 2429, 3, 10, 1798, 9174, 4364, 17984
72, 2181, 4, 13, 1803, 9243, 4467, 17921
73, 2367, 4, 11, 1806, 9187, 4441, 18023
74, 2227, 4, 13, 1964, 9249, 4202, 17872
75, 2422, 3, 10, 1813, 9212, 4333, 18006
76, 2264, 4, 13, 1812, 9267, 4290, 17864
77, 2486, 3, 12, 1850, 9198, 4238, 17997
78, 2254, 4, 12, 1839, 9177, 4354, 17855
79, 2511, 3, 10, 1835, 9231, 4224, 18022
80, 2590, 3, 15, 1827, 8141, 4050, 16856
81, 2477, 4, 14, 1853, 9810, 4664, 19036
82, 2486, 4, 15, 1835, 10386, 3892, 18848
83, 2450, 4, 13, 1937, 9334, 4114, 18058
84, 2433, 4, 14, 1842, 8128, 4190, 16825
85, 2351, 3, 10, 1820, 8506, 4195, 17091
86, 2575, 4, 13, 1861, 8097, 4033, 16796
87, 2245, 3, 12, 2124, 8805, 4714, 18111
88, 2715, 3, 13, 1908, 8468, 4461, 17783
89, 2117, 3, 10, 1841, 8281, 4670, 17130
90, 2480, 5, 16, 2028, 8514, 4471, 17747
91, 2424, 4, 11, 1853, 8385, 4247, 17135
92, 2690, 4, 14, 1869, 8078, 3980, 16849
93, 2277, 4, 10, 1885, 8870, 3891, 17151
94, 2620, 3, 15, 1830, 8183, 3836, 16700
95, 2246, 4, 15, 2092, 8565, 4047, 17178
96, 2669, 4, 13, 1908, 9275, 4601, 18694
97, 2107, 4, 10, 1834, 9207, 3813, 17188
98, 2479, 3, 14, 1873, 9054, 4045, 17684
99, 2449, 3, 11, 1841, 8994, 4701, 18203
100, 2875, 4, 13, 1875, 8766, 3807, 17553
101, 2433, 4, 11, 1823, 8083, 3657, 16217
102, 2588, 4, 14, 2233, 9377, 4223, 18649
103, 2239, 3, 13, 1824, 9053, 3894, 17236
104, 2677, 3, 13, 1805, 9324, 4632, 18668
105, 2435, 4, 11, 1822, 9178, 4607, 18261
106, 2524, 3, 13, 1844, 9071, 3946, 17617
107, 2410, 3, 10, 1826, 9350, 4457, 18262
108, 2188, 3, 14, 1869, 10843, 4478, 19612
109, 2349, 3, 11, 1834, 9446, 4456, 18307
110, 2213, 4, 16, 1883, 9392, 3862, 17585
111, 1942, 3, 11, 1848, 9343, 3982, 17335
112, 2591, 3, 13, 1892, 10903, 3929, 19557
113, 2364, 3, 12, 1832, 9371, 4596, 18388
114, 2154, 4, 13, 1838, 9399, 3864, 17488
115, 2600, 4, 11, 1900, 9567, 4100, 18391
116, 2532, 4, 17, 1822, 9470, 4444, 18495
117, 2594, 3, 10, 1846, 9378, 4293, 18353
118, 2375, 4, 12, 1814, 9299, 3737, 17451
119, 2524, 4, 11, 1834, 9323, 4375, 18279
120, 2299, 4, 12, 1861, 9350, 4712, 18444
121, 2347, 3, 11, 1849, 9565, 4459, 18454
