Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
175,298,4,11,381,755,1384,3053
176,242,4,13,456,943,1887,3757
177,307,4,10,410,751,1322,3034
178,245,3,11,396,868,2032,3763
179,311,4,10,379,732,1381,3045
180,263,4,12,412,890,1987,3772
181,298,4,11,411,819,1233,2990
182,270,4,12,446,864,1974,3795
183,325,3,11,364,765,1317,2993
184,295,3,11,407,892,2055,3868
185,330,4,12,423,835,2077,3939
186,301,3,11,406,841,2117,3876
187,319,3,11,384,701,1320,2950
188,267,3,11,409,968,2047,3908
189,254,3,11,388,704,1339,2911
190,274,3,12,421,840,2156,3916
191,235,3,11,387,754,1302,2903
192,277,4,10,406,869,2173,3945
193,275,4,11,381,827,1197,2903
194,267,3,11,415,877,2166,3940
195,305,3,11,360,732,1261,2882
196,279,3,12,430,878,2072,3891
197,282,3,11,378,738,1303,2924
198,267,3,12,406,903,2105,3907
199,309,3,11,401,786,1192,2915
200,246,3,11,402,914,2115,3886
201,295,3,10,368,729,1321,2939
202,257,3,11,409,899,2105,3886
203,262,3,10,369,699,1360,2915
204,249,3,11,416,852,2161,3889
205,302,3,10,358,725,1320,2927
206,234,3,11,416,903,2157,3927
207,280,4,11,419,743,1175,2871
208,262,3,11,415,890,2121,3914
209,319,3,11,388,816,1158,2905
210,236,4,11,407,851,2199,3916
211,292,4,10,390,803,1206,2918
212,297,3,11,417,909,2049,3893
213,303,3,11,381,732,1283,2924
214,272,3,12,409,829,2178,3912
215,306,4,11,402,734,1271,2946
216,267,4,12,414,949,1979,3831
217,321,4,11,416,750,1227,2942
218,246,3,12,409,908,2084,3886
219,259,3,12,387,764,1304,2939
220,288,4,10,413,857,2055,3837
221,292,3,11,380,728,1313,2938
222,277,3,12,416,855,2102,3873
223,322,3,10,383,820,1191,2942
224,245,3,11,438,875,2061,3857
225,341,4,12,400,717,1251,2939
226,241,3,13,401,871,2141,3876
227,260,3,10,401,782,1266,2940
228,248,3,11,410,964,2024,3870
229,290,3,10,398,802,1245,2949
230,261,4,11,408,911,2062,3861
231,273,3,10,388,707,1377,2973
232,291,3,12,409,935,1986,3844
233,285,4,12,431,747,1246,2947
234,268,4,11,410,939,1992,3840
235,272,4,11,380,734,1366,2979
236,269,4,11,396,881,2102,3867
237,269,3,9,380,723,1366,2961
238,224,5,14,394,873,2155,3870
239,307,4,10,359,678,1392,2965
240,277,3,11,397,840,2157,3886
241,259,4,10,398,743,1306,2929
242,252,4,11,445,855,2125,3896
243,269,4,10,386,719,1345,2939
244,268,4,11,406,950,2050,3910
245,269,4,10,371,723,1311,2901
246,249,4,10,401,902,2177,3947
247,310,3,10,405,807,1135,2882
248,259,3,11,417,948,2111,3955
249,322,3,11,372,688,1237,2846
250,262,4,12,435,923,2148,3994
251,313,3,10,375,732,1187,2840
252,259,3,10,410,924,2216,4020
253,287,3,10,380,725,1189,2807
254,259,3,10,396,851,2328,4049
255,278,4,10,380,757,1148,2780
256,340,3,10,496,880,2124,4059
257,293,3,13,402,718,1103,2760
258,260,3,12,398,849,2351,4078
259,277,4,11,400,744,1099,2754
260,258,4,11,405,884,2280,4051
261,258,5,15,469,800,1957,3733
262,264,3,10,422,945,2206,4054
263,272,3,10,396,706,1158,2764
264,234,4,11,424,928,2247,4059
265,263,3,10,397,847,1008,2748
266,238,4,11,426,895,2282,4064
267,301,3,10,380,719,1114,2744
268,267,3,11,412,865,2305,4073
269,281,3,10,406,753,1058,2731
270,267,4,11,422,929,2234,4072
271,288,4,10,376,737,1117,2743
272,237,4,12,374,731,2485,4060
273,341,4,11,379,712,1090,2752
274,216,3,13,363,656,2114,3567
275,322,3,11,358,661,1677,3244
276,246,4,11,375,721,2001,3568
277,295,3,11,383,753,1552,3215
278,200,3,10,359,666,1164,2609
279,302,3,11,410,789,1471,3209
280,221,3,12,372,668,1117,2599
281,285,4,10,398,752,1522,3191
282,222,3,10,400,789,1966,3608
283,321,4,10,390,772,1493,3210
284,217,4,10,364,652,1158,2613
285,317,4,10,391,731,1530,3198
286,232,3,11,363,689,2142,3645
287,293,3,10,380,801,1501,3196
288,238,3,11,372,660,1134,2636
289,325,4,11,380,779,1475,3186
290,207,3,11,399,737,2056,3647
291,305,3,10,384,722,1560,3195
292,221,3,11,383,650,1117,2592
293,279,4,12,383,730,1598,3227
294,232,4,14,411,711,1912,3495
295,313,4,11,389,741,1596,3267
296,242,4,10,393,726,1904,3504
297,312,3,10,392,742,1614,3291
298,212,3,11,366,722,1959,3481
299,338,4,11,381,737,1627,3313
300,230,3,12,390,802,1842,3486
301,308,3,11,389,778,1643,3338
302,245,4,10,367,695,1990,3514
303,304,3,10,362,696,1705,3305
304,230,3,11,364,709,2001,3525
305,315,4,11,387,844,1512,3287
306,233,4,11,391,722,1982,3548
307,303,3,10,378,756,1606,3271
308,201,3,11,382,735,2001,3539
309,299,4,10,376,736,1657,3286
310,220,3,12,363,665,1115,2582
311,345,4,10,377,715,1595,3249
312,203,4,11,372,798,2010,3609
313,300,3,10,377,707,1620,3226
314,238,3,11,399,678,2080,3614
315,322,3,11,390,778,1494,3217
316,227,3,12,369,679,2140,3633
317,308,4,10,387,775,1494,3192
318,232,3,11,388,789,1978,3609
319,339,3,11,392,771,1476,3209
320,223,4,10,359,637,2180,3620
321,301,3,10,377,691,1585,3182
322,210,4,10,366,696,1162,2653
323,287,3,11,384,830,1412,3153
324,212,4,11,388,734,2095,3654
325,322,3,10,400,754,1447,3153
326,219,3,12,400,650,1167,2663
327,317,4,10,375,826,1428,3179
328,214,4,10,373,689,2134,3618
329,311,3,10,383,700,1567,3179
330,210,3,9,365,720,1134,2644
331,390,3,10,387,719,1473,3192
332,210,3,11,365,664,1185,2643
333,346,3,11,368,727,1525,3194
334,202,4,10,375,647,1196,2629
335,286,2,10,419,767,1514,3211
336,198,3,11,396,781,2032,3627
337,330,3,11,443,786,1374,3166
338,208,3,11,395,674,2112,3609
339,320,4,11,403,777,1458,3194
340,211,3,13,368,772,2073,3655
341,282,4,12,401,829,1426,3171
342,230,4,12,396,696,2088,3635
343,308,3,11,380,726,1530,3171
344,207,4,14,423,710,2130,3699
345,309,4,14,380,698,1498,3116
346,212,4,12,383,689,1200,2710
347,299,4,11,372,744,1446,3095
348,209,3,11,363,715,1209,2716
349,339,3,10,382,788,1368,3103
350,256,3,12,398,705,2083,3688
351,316,3,11,379,695,1490,3109
352,220,3,13,385,709,1186,2725
353,336,3,12,389,734,1383,3077
354,231,4,12,399,789,2124,3765
355,312,4,11,387,801,1336,3064
356,218,4,10,404,696,1239,2779
357,336,3,11,411,747,1303,3030
358,202,3,11,371,674,1361,2825
359,295,3,10,387,783,1316,3010
360,228,3,11,383,811,1198,2837
361,354,3,11,388,766,1256,2992
362,220,3,11,380,708,1319,2846
363,300,4,11,409,723,1314,2976
364,226,3,12,384,702,1352,2882
365,314,3,10,384,693,1266,2906
366,215,4,11,368,772,1337,2917
367,318,4,10,399,748,1208,2906
368,232,4,11,371,660,1474,2958
369,298,3,10,375,726,1242,2864
370,213,3,12,378,682,1454,2946
371,368,3,11,374,696,1204,2868
372,220,3,13,365,779,1373,2958
373,322,4,10,405,734,1191,2884
374,207,3,11,372,694,1446,2941
375,304,3,11,465,789,2080,3898
376,206,3,11,368,656,1472,2918
377,298,3,12,395,758,1204,2900
378,224,4,10,395,768,1282,2891
379,313,4,11,398,739,1185,2908
380,209,4,11,371,748,1379,2931
381,333,3,10,388,759,1148,2854
382,222,4,11,369,688,1489,2981
383,335,4,12,383,704,1165,2816
384,238,3,12,380,753,1378,2993
385,326,4,11,413,790,2039,3800
386,238,3,12,377,695,1468,3003
387,296,3,11,404,743,1129,2802
388,217,3,12,380,699,1487,3006
389,300,4,11,395,757,1143,2824
390,220,3,12,362,719,1470,2993
391,330,4,13,451,811,1976,3807
392,240,4,10,376,690,1476,2999
393,311,3,9,378,705,1238,2855
394,228,2,10,356,660,1547,3005
395,318,3,10,390,842,1080,2848
396,238,3,11,374,757,1453,3033
397,278,3,10,389,734,1170,2804
398,210,2,12,368,709,1543,3049
399,297,3,10,391,779,1084,2777
400,224,3,11,354,666,1586,3047
401,326,4,10,370,695,1192,2810
402,235,3,11,367,670,1587,3079
403,311,3,11,393,771,1039,2742
404,231,4,11,378,715,1564,3106
405,349,3,11,380,756,1043,2753
406,222,4,11,361,719,1598,3118
407,325,3,10,375,747,1047,2719
408,230,3,10,369,705,1618,3143
409,301,4,13,406,832,1910,3683
410,229,4,12,385,682,1602,3121
411,368,3,10,381,719,1012,2705
412,199,3,11,364,689,1673,3143
413,314,3,11,385,783,1982,3692
414,202,4,14,380,746,1587,3138
415,328,3,11,403,794,1947,3697
416,223,3,11,374,718,1596,3126
417,299,4,11,382,753,2029,3689
418,211,4,10,368,659,1681,3138
419,303,4,10,379,725,2053,3691
420,216,4,19,401,662,1595,3107
421,338,3,10,396,749,989,2695
422,230,4,11,382,685,1611,3137
423,324,3,12,386,771,1968,3684
424,199,4,11,379,664,1686,3147
425,333,4,12,394,729,1975,3659
426,227,3,11,394,848,1464,3155
427,320,3,11,403,862,1821,3636
428,249,3,11,389,740,1607,3199
429,287,3,12,361,761,1015,2641
430,223,3,12,371,662,1744,3217
431,330,3,11,353,728,1051,2670
432,240,3,11,372,708,1696,3234
433,302,3,11,410,830,1818,3588
434,222,3,12,369,680,1719,3217
435,347,4,11,372,763,1887,3597
436,231,4,12,437,686,1674,3248
437,300,3,10,373,720,1956,3576
438,202,3,12,372,662,1831,3286
439,303,3,10,388,760,1882,3554
440,243,4,11,385,752,1680,3276
441,300,3,11,379,755,1881,3549
442,234,3,11,365,698,1801,3312
443,353,4,13,441,823,1621,3493
444,230,4,11,383,647,1861,3340
445,397,3,11,397,765,1669,3459
446,232,4,13,395,749,1758,3360
447,313,4,11,389,718,1805,3452
448,213,4,12,381,656,1916,3387
449,294,4,11,408,771,1725,3426
450,203,4,12,385,728,1862,3407
451,319,4,11,383,820,1620,3392
452,215,4,12,390,732,1893,3452
453,317,3,11,375,731,1746,3399
454,246,4,11,424,730,1804,3430
455,315,4,11,387,755,1709,3400
456,231,3,13,370,628,1983,3434
457,312,4,11,380,734,1732,3386
458,267,4,12,386,719,1880,3475
459,313,4,11,429,771,1615,3355
460,245,4,12,386,684,1914,3457
461,292,4,11,384,738,1730,3373
462,256,3,12,376,783,1812,3452
463,315,4,10,377,731,1749,3405
464,212,4,11,407,773,1797,3410
465,317,3,10,392,749,1728,3418
466,241,4,15,370,674,1869,3384
467,297,3,10,367,688,1874,3449
468,213,3,11,387,759,1794,3372
469,312,3,11,389,766,1755,3455
470,217,3,11,377,718,1859,3392
471,325,3,10,365,677,1851,3444
472,220,3,10,373,687,1895,3393
473,318,3,12,372,732,1797,3438
474,254,3,12,381,663,1851,3376
475,335,4,10,380,718,1778,3441
476,213,3,10,371,712,1842,3363
477,300,4,10,403,772,1760,3463
478,249,3,10,352,640,1921,3379
479,328,3,10,375,742,1819,3485
480,205,3,12,370,714,1851,3357
481,324,4,11,383,707,1831,3474
482,213,4,11,367,795,1769,3366
483,320,3,11,395,743,1821,3502
484,216,3,14,371,687,1829,3331
485,295,3,10,393,720,1853,3489
486,236,4,11,376,672,1841,3340
487,308,3,11,384,751,1817,3483
488,212,4,12,397,742,1806,3376
489,294,3,10,375,695,1884,3471
490,221,4,11,397,767,1810,3418
491,319,3,10,382,727,1759,3411
492,225,4,11,363,671,1958,3435
493,319,3,11,372,720,1742,3380
494,222,3,11,367,701,1958,3466
495,333,4,12,390,785,1594,3335
496,227,4,12,368,683,1978,3480
497,321,4,11,385,737,1678,3341
498,220,3,12,381,705,1962,3491
