Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 2022, 6, 18, 2224, 11477, 7600, 23649
Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 1950, 6, 16, 2250, 11227, 5315, 21088
2, 2172, 7, 26, 2466, 10725, 5117, 20817
3, 2200, 6, 17, 2578, 10351, 4799, 20250
4, 2322, 6, 17, 2383, 10497, 30336, 45867
5, 2101, 6, 18, 2336, 10543, 30359, 45683
6, 2129, 6, 18, 2442, 10854, 30310, 46066
7, 2116, 7, 18, 2328, 10515, 21670, 36962
Index, Checkpoint Creation, Checkpoint Location, Permission Change, Image Creation, Image Push, Pod Ready, Total
1, 2100, 6, 18, 2340, 11369, 4647, 20794
2, 2178, 7, 32, 2648, 10588, 4239, 20009
3, 2138, 6, 19, 2582, 10599, 4559, 20209
4, 2198, 6, 17, 2329, 10203, 5177, 20224
5, 2106, 7, 19, 2770, 10592, 4447, 20258
6, 2120, 6, 17, 2251, 10871, 4652, 20215
7, 2178, 6, 18, 2305, 10743, 4663, 20227
8, 2073, 7, 18, 2391, 10962, 4475, 20238
9, 2062, 6, 18, 2440, 11054, 4338, 20231
10, 2135, 6, 18, 2334, 11387, 5043, 21238
11, 2040, 6, 18, 2729, 10944, 5209, 21245
12, 2163, 6, 17, 2406, 10803, 5231, 20938
13, 1868, 6, 18, 2478, 10634, 4952, 20259
14, 2085, 7, 17, 2338, 10510, 4984, 20222
15, 2106, 6, 16, 2573, 10412, 4824, 20251
16, 2111, 6, 20, 2412, 11167, 4918, 20927
17, 2008, 6, 17, 2216, 10040, 5642, 20231
18, 2082, 5, 16, 2328, 10420, 5102, 20253
19, 2113, 6, 17, 2522, 10284, 4957, 20215
20, 2083, 7, 18, 2458, 11018, 4310, 20205
21, 2537, 6, 18, 2922, 10811, 4524, 21137
22, 2191, 6, 17, 2510, 10105, 5071, 20220
23, 1989, 6, 16, 2322, 10349, 4239, 19223
24, 2028, 6, 16, 2503, 10773, 4613, 20265
25, 2279, 7, 18, 2326, 11401, 4585, 20938
26, 2146, 6, 18, 2388, 10918, 4440, 20214
27, 2006, 6, 19, 2383, 11340, 4743, 20807
28, 2109, 6, 17, 2281, 11030, 4486, 20242
29, 2081, 7, 18, 2358, 10145, 4320, 19251
30, 2208, 6, 18, 2412, 10777, 4497, 20241
31, 2179, 6, 19, 2425, 10844, 5336, 21124
32, 2215, 9, 17, 2676, 10298, 4730, 20245
33, 2181, 7, 17, 2327, 10593, 4794, 20232
34, 2079, 6, 18, 2387, 10915, 4491, 20205
35, 2256, 5, 19, 2528, 10605, 4581, 20297
36, 2177, 6, 17, 2482, 10394, 4850, 20245
37, 2250, 6, 19, 2382, 11023, 5240, 21229
38, 2154, 6, 17, 2610, 10674, 4479, 20253
39, 2537, 7, 19, 2381, 11742, 4141, 21134
40, 2186, 5, 17, 2324, 10600, 4794, 20246
41, 2155, 7, 17, 2450, 10633, 4692, 20268
42, 2158, 7, 19, 2663, 11175, 4913, 21244
43, 2272, 6, 16, 2369, 10327, 4803, 20112
44, 2133, 6, 18, 2304, 11001, 4473, 20258
45, 2064, 6, 18, 2601, 11719, 4491, 21218
46, 2124, 6, 18, 2559, 10603, 4629, 20261
47, 2259, 7, 18, 2361, 10767, 4541, 20253
48, 2130, 6, 17, 2474, 10451, 4864, 20255
49, 2149, 6, 19, 2282, 10802, 4713, 20278
50, 2130, 6, 18, 2286, 10674, 4813, 20228
51, 2165, 7, 19, 2329, 10469, 4893, 20207
52, 2133, 7, 18, 2414, 10087, 5246, 20218
53, 2032, 6, 17, 2427, 10345, 5132, 20261
54, 1967, 4, 14, 2279, 10835, 4815, 20242
55, 2183, 6, 18, 2658, 10172, 4891, 20222
56, 2165, 5, 18, 2446, 10879, 4375, 20209
57, 2205, 7, 17, 2326, 10858, 5500, 21222
58, 2141, 6, 16, 2294, 10416, 4830, 20015
59, 2025, 6, 18, 2453, 11599, 4842, 21263
60, 2387, 5, 16, 2360, 10469, 4419, 19962
61, 2044, 7, 17, 2370, 11124, 4347, 20204
62, 1963, 7, 18, 2441, 11377, 5106, 21239
63, 2496, 6, 16, 2332, 11141, 4972, 21268
64, 2029, 5, 16, 2323, 11387, 30352, 46428
65, 2080, 6, 15, 2347, 11388, 30361, 46509
66, 2003, 6, 19, 2519, 12423, 30326, 47608
67, 2363, 7, 18, 2451, 10921, 30334, 46400
68, 2115, 6, 18, 2275, 11489, 30325, 46529
69, 2387, 6, 17, 2319, 11134, 24655, 40837
70, 2084, 6, 18, 2421, 11037, 4368, 20248
71, 2324, 7, 17, 2410, 11653, 4533, 21255
72, 2135, 7, 18, 2497, 10552, 4727, 20255
73, 1879, 6, 17, 2311, 10849, 4787, 20152
74, 2098, 7, 18, 2348, 10340, 5091, 20225
75, 2022, 6, 20, 2442, 10319, 5088, 20199
76, 2127, 5, 16, 2235, 10728, 4852, 20275
77, 2114, 6, 19, 2344, 11296, 5144, 21237
78, 2136, 7, 18, 2374, 10532, 4540, 19929
79, 2185, 7, 18, 2295, 10668, 4472, 19944
80, 2158, 7, 18, 2591, 11130, 4986, 21211
81, 2179, 9, 18, 2282, 10785, 4613, 20198
82, 2155, 8, 16, 2341, 10866, 4416, 20114
83, 2223, 6, 17, 2581, 10651, 5005, 20804
84, 2062, 6, 24, 2795, 11449, 4551, 21230
85, 2023, 6, 19, 2458, 11286, 4764, 20886
86, 2093, 8, 19, 2840, 11001, 4522, 20826
87, 2184, 7, 18, 2379, 10237, 5107, 20257
88, 2154, 6, 20, 2623, 10650, 5090, 20883
89, 2243, 7, 19, 2642, 10892, 5077, 21221
90, 2225, 7, 21, 2513, 11215, 4918, 21225
91, 2246, 6, 18, 2296, 11080, 4866, 20826
92, 2230, 7, 22, 2593, 10540, 4051, 19765
93, 2227, 7, 20, 2233, 12093, 5365, 22267
94, 2201, 9, 19, 2381, 10388, 4499, 19813
95, 2211, 7, 18, 2562, 10862, 5236, 21239
96, 2234, 7, 19, 2341, 11006, 4837, 20766
97, 2082, 8, 19, 2990, 10922, 4601, 20948
98, 2107, 8, 21, 2537, 10903, 4852, 20770
99, 2159, 7, 19, 2560, 11375, 4427, 20900
100, 2208, 6, 19, 2482, 11518, 5201, 21760
101, 2246, 8, 19, 2415, 11028, 4864, 20878
102, 2173, 7, 17, 2578, 11030, 4952, 21078
103, 2170, 6, 18, 2496, 10775, 5160, 20935
104, 2175, 8, 22, 2616, 10569, 4386, 20099
105, 2294, 8, 18, 2397, 11146, 5061, 21232
106, 2282, 6, 19, 2533, 10420, 4521, 20108
107, 2110, 6, 18, 2395, 10565, 4400, 19828
108, 2200, 6, 20, 2579, 10881, 5172, 21190
109, 2658, 6, 18, 2649, 10950, 4502, 21094
110, 2113, 8, 19, 2637, 11722, 4947, 21778
111, 2291, 7, 23, 2788, 11336, 4291, 21095
112, 2366, 6, 17, 2386, 11592, 4420, 21112
113, 2527, 7, 27, 2706, 11486, 4799, 21872
114, 2704, 7, 22, 2469, 11112, 4568, 21230
115, 2137, 6, 18, 2469, 11494, 4610, 21071
116, 2705, 6, 17, 2648, 11741, 4458, 21906
117, 2530, 8, 18, 3190, 10769, 4945, 21791
118, 2122, 6, 20, 2886, 10991, 4625, 21002
119, 1992, 8, 19, 2379, 11674, 4428, 20805
120, 2325, 8, 19, 2393, 11448, 4579, 21106
121, 2435, 9, 20, 2497, 10802, 5155, 21234
122, 2147, 7, 24, 2632, 10328, 4362, 19812
123, 1987, 7, 19, 2257, 11494, 5020, 21116
124, 2035, 7, 19, 2594, 11391, 4519, 20899
125, 2112, 7, 19, 2361, 11088, 4911, 20808
126, 2265, 7, 18, 2471, 10612, 5439, 21116
127, 2030, 7, 19, 2436, 10996, 5318, 21126
128, 2031, 7, 19, 2741, 10613, 4519, 20237
129, 2041, 7, 18, 2407, 10498, 4868, 20152
130, 2111, 7, 19, 2337, 10790, 5346, 20919
131, 2085, 7, 19, 2659, 11113, 4944, 21139
132, 2039, 6, 19, 2447, 11227, 5092, 21133
133, 2097, 6, 18, 2282, 10837, 30383, 45925
134, 2186, 6, 16, 2402, 11193, 30355, 46472
135, 2112, 6, 18, 2496, 11311, 30372, 46631
136, 2023, 6, 19, 2406, 11008, 30385, 46165
137, 2031, 7, 19, 2392, 11046, 30376, 46207
138, 2065, 7, 18, 2490, 11132, 28658, 44683
139, 2043, 7, 19, 2505, 11853, 4399, 21117
140, 2018, 6, 17, 2343, 10968, 4203, 19844
141, 2174, 6, 19, 2380, 11339, 5025, 21272
142, 2087, 7, 17, 2406, 10696, 4343, 19869
143, 2160, 6, 17, 2387, 12170, 5068, 22121
144, 2139, 7, 17, 2418, 10072, 4991, 19949
145, 2067, 6, 18, 2426, 10883, 4260, 19962
146, 2087, 6, 19, 2353, 11395, 5049, 21229
147, 2060, 6, 17, 2469, 10404, 4959, 20227
148, 1980, 6, 17, 2363, 10680, 4806, 20167
149, 2092, 7, 19, 2422, 10263, 5098, 20227
150, 2223, 6, 18, 2307, 10799, 4577, 20238
151, 2110, 7, 19, 2446, 11711, 5160, 21784
152, 2167, 7, 20, 2435, 11503, 4458, 20915
153, 1957, 7, 17, 2407, 10701, 4499, 19901
154, 2179, 8, 18, 2471, 11026, 5158, 21189
155, 2022, 9, 17, 2486, 10912, 5037, 20795
156, 2116, 7, 23, 2722, 10371, 5225, 20796
157, 2054, 7, 20, 2573, 10975, 5206, 21170
158, 2115, 6, 18, 2462, 10866, 4956, 20742
159, 2065, 7, 17, 2409, 10898, 4513, 20209
160, 2146, 6, 17, 2353, 11953, 4456, 21255
