Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
10.0.0.180:5000/localredis:latest,2024-05-29T09:19:55Z,3.4 MiB,457 µs,82.293 ms,5.071 ms,3.305 ms,91.126
10.0.0.180:5000/localredis:latest,2024-05-29T02:10:13Z,3.4 MiB,628 µs,95.062 ms,6.963 ms,4.612 ms,107.265
10.0.0.180:5000/localredis:latest,2024-05-28T21:04:07Z,3.4 MiB,522 µs,92.901 ms,5.449 ms,3.584 ms,102.456
10.0.0.180:5000/localredis:latest,2024-05-29T04:23:49Z,3.4 MiB,619 µs,89.513 ms,7.009 ms,4.592 ms,101.733
10.0.0.180:5000/localredis:latest,2024-05-29T02:58:26Z,3.4 MiB,668 µs,103.46 ms,7.723 ms,4.838 ms,116.689
10.0.0.180:5000/localredis:latest,2024-05-28T21:57:40Z,3.5 MiB,686 µs,107.89 ms,7.286 ms,4.993 ms,120.855
10.0.0.180:5000/localredis:latest,2024-05-29T00:57:32Z,3.4 MiB,713 µs,103.92 ms,8.012 ms,5.121 ms,117.766
10.0.0.180:5000/localredis:latest,2024-05-29T09:08:07Z,3.4 MiB,796 µs,108.21 ms,7.919 ms,4.351 ms,121.276
10.0.0.180:5000/localredis:latest,2024-05-29T10:28:09Z,3.4 MiB,744 µs,121.13 ms,8.652 ms,5.132 ms,135.658
10.0.0.180:5000/localredis:latest,2024-05-29T10:32:24Z,3.4 MiB,661 µs,96.06 ms,6.969 ms,4.752 ms,108.442
10.0.0.180:5000/localredis:latest,2024-05-29T04:15:55Z,3.4 MiB,724 µs,108.16 ms,6.561 ms,4.296 ms,119.741
10.0.0.180:5000/localredis:latest,2024-05-29T10:50:47Z,3.4 MiB,411 µs,71.823 ms,4.049 ms,2.682 ms,78.965
10.0.0.180:5000/localredis:latest,2024-05-28T22:33:29Z,3.4 MiB,405 µs,81.455 ms,5.144 ms,3.308 ms,90.312
10.0.0.180:5000/localredis:latest,2024-05-29T01:48:51Z,3.4 MiB,612 µs,93.846 ms,6.753 ms,4.443 ms,105.654
10.0.0.180:5000/localredis:latest,2024-05-28T22:20:44Z,3.5 MiB,482 µs,101.81 ms,5.828 ms,3.631 ms,111.751
10.0.0.180:5000/localredis:latest,2024-05-29T09:17:20Z,3.4 MiB,654 µs,115.9 ms,8.431 ms,4.388 ms,129.373
10.0.0.180:5000/localredis:latest,2024-05-28T23:37:22Z,3.4 MiB,650 µs,104.8 ms,6.987 ms,4.621 ms,117.058
10.0.0.180:5000/localredis:latest,2024-05-29T03:45:30Z,3.4 MiB,626 µs,100.52 ms,7.152 ms,4.802 ms,113.1
10.0.0.180:5000/localredis:latest,2024-05-28T23:56:15Z,3.4 MiB,660 µs,103.68 ms,6.553 ms,4.352 ms,115.245
10.0.0.180:5000/localredis:latest,2024-05-29T11:03:09Z,3.4 MiB,699 µs,116.11 ms,7.297 ms,5.045 ms,129.151
10.0.0.180:5000/localredis:latest,2024-05-29T00:58:14Z,3.4 MiB,669 µs,107.7 ms,7.22 ms,5.021 ms,120.61
10.0.0.180:5000/localredis:latest,2024-05-29T00:21:57Z,3.4 MiB,661 µs,115.57 ms,7.239 ms,4.541 ms,128.011
