Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localmongo:latest,2024-06-03T10:06:32Z,72.2 MiB,3.106,217.93,94.022,68.012,383.07
10.0.0.180:5000/localmongo:latest,2024-06-03T12:14:43Z,72.2 MiB,2.223,204.26,88.691,66.063,361.237
10.0.0.180:5000/localmongo:latest,2024-06-03T12:17:58Z,72.2 MiB,2.685,199.21,85.533,61.083,348.511
10.0.0.180:5000/localmongo:latest,2024-06-03T11:24:18Z,72.2 MiB,2.656,193.28,85.544,61.027,342.507
10.0.0.180:5000/localmongo:latest,2024-06-03T12:10:56Z,72.2 MiB,2.796,217.24,93.873,70.165,384.074
10.0.0.180:5000/localmongo:latest,2024-06-03T11:02:52Z,72.2 MiB,2.803,207.93,84.699,62.157,357.589
10.0.0.180:5000/localmongo:latest,2024-06-03T10:00:42Z,72.2 MiB,2.758,204,87.13,64.361,358.249
10.0.0.180:5000/localmongo:latest,2024-06-03T11:08:59Z,72.2 MiB,2.7,204.88,85.193,60.823,353.596
10.0.0.180:5000/localmongo:latest,2024-06-03T10:39:58Z,72.2 MiB,2.785,186.93,84.951,61.211,335.877
10.0.0.180:5000/localmongo:latest,2024-06-03T11:19:55Z,72.2 MiB,2.914,188.63,78.724,61.45,331.718
10.0.0.180:5000/localmongo:latest,2024-06-03T11:07:12Z,72.2 MiB,2.863,187.87,77.324,60.01,328.067
10.0.0.180:5000/localmongo:latest,2024-06-03T11:15:32Z,72.2 MiB,2.974,183.69,83.198,63.94,333.802
10.0.0.180:5000/localmongo:latest,2024-06-03T11:38:14Z,72.2 MiB,2.709,204.18,84.941,62.009,353.839
10.0.0.180:5000/localmongo:latest,2024-06-03T10:06:59Z,72.2 MiB,2.733,205.05,81.265,62.677,351.725
10.0.0.180:5000/localmongo:latest,2024-06-03T10:15:39Z,72.2 MiB,2.75,211.61,88.263,63.854,366.477
10.0.0.180:5000/localmongo:latest,2024-06-03T10:39:06Z,72.2 MiB,3.13,201.28,89.789,65.14,359.339
10.0.0.180:5000/localmongo:latest,2024-06-03T10:02:31Z,72.2 MiB,3.41,216.65,88.403,64.024,372.487
10.0.0.180:5000/localmongo:latest,2024-06-03T10:22:53Z,72.2 MiB,2.743,214.16,87.467,63.178,367.548
10.0.0.180:5000/localmongo:latest,2024-06-03T12:03:24Z,72.2 MiB,2.83,195.98,89.11,64.639,352.559
10.0.0.180:5000/localmongo:latest,2024-06-03T12:13:32Z,72.2 MiB,3.037,191.48,84.06,59.949,338.526
10.0.0.180:5000/localmongo:latest,2024-06-03T11:03:44Z,72.2 MiB,2.569,194.92,77.248,59.603,334.34
10.0.0.180:5000/localmongo:latest,2024-06-03T11:35:12Z,72.2 MiB,2.572,182.78,70.747,52.187,308.286
10.0.0.180:5000/localmongo:latest,2024-06-03T11:40:20Z,72.2 MiB,2.709,201.69,84.9,61.618,350.917
10.0.0.180:5000/localmongo:latest,2024-06-03T11:01:32Z,72.2 MiB,2.743,208.26,85.695,61.041,357.739
10.0.0.180:5000/localmongo:latest,2024-06-03T11:05:54Z,72.2 MiB,2.733,200.44,86.327,62.484,351.984
10.0.0.180:5000/localmongo:latest,2024-06-03T11:16:51Z,72.2 MiB,2.685,209.55,87.377,63.052,362.664
10.0.0.180:5000/localmongo:latest,2024-06-03T12:03:51Z,72.2 MiB,2.222,176.04,74.584,57.443,310.289
10.0.0.180:5000/localmongo:latest,2024-06-03T11:51:15Z,72.2 MiB,2.622,214.97,90.777,63.855,372.224
10.0.0.180:5000/localmongo:latest,2024-06-03T12:13:07Z,72.2 MiB,2.761,203.69,79.82,57.562,343.833
