Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time (ms)
10.0.0.180:5000/localredis:latest,2024-05-28T10:11:10Z,2.6 MiB,364 µs,75.3 ms,3.516 ms,2.158 ms,81.338
10.0.0.180:5000/localredis:latest,2024-05-28T08:44:48Z,2.6 MiB,379 µs,70.518 ms,3.493 ms,2.173 ms,76.563
10.0.0.180:5000/localredis:latest,2024-05-28T06:45:26Z,2.6 MiB,396 µs,72.749 ms,3.449 ms,2.131 ms,78.725
10.0.0.180:5000/localredis:latest,2024-05-28T08:41:31Z,2.6 MiB,373 µs,78.046 ms,5.619 ms,4.238 ms,88.276
10.0.0.180:5000/localredis:latest,2024-05-27T21:42:16Z,2.8 MiB,406 µs,77.463 ms,4.073 ms,2.411 ms,84.353
10.0.0.180:5000/localredis:latest,2024-05-27T21:58:04Z,2.6 MiB,602 µs,109.65 ms,5.318 ms,3.149 ms,118.719
10.0.0.180:5000/localredis:latest,2024-05-27T21:21:39Z,2.8 MiB,375 µs,88.615 ms,3.57 ms,2.163 ms,94.723
10.0.0.180:5000/localredis:latest,2024-05-27T20:58:31Z,2.6 MiB,696 µs,104.34 ms,6.268 ms,3.666 ms,114.97
10.0.0.180:5000/localredis:latest,2024-05-28T00:19:37Z,2.8 MiB,509 µs,85.53 ms,6.133 ms,4.263 ms,96.435
10.0.0.180:5000/localredis:latest,2024-05-28T10:03:12Z,2.6 MiB,381 µs,72.095 ms,3.817 ms,2.208 ms,78.501
10.0.0.180:5000/localredis:latest,2024-05-28T03:39:30Z,2.8 MiB,405 µs,74.686 ms,4.08 ms,2.713 ms,81.884
10.0.0.180:5000/localredis:latest,2024-05-28T03:09:57Z,2.8 MiB,423 µs,75.681 ms,4.17 ms,2.787 ms,83.061
10.0.0.180:5000/localredis:latest,2024-05-27T23:03:57Z,2.8 MiB,371 µs,74.946 ms,3.869 ms,2.454 ms,81.64
10.0.0.180:5000/localredis:latest,2024-05-27T20:36:52Z,2.8 MiB,400 µs,76.721 ms,3.984 ms,2.544 ms,83.649
10.0.0.180:5000/localredis:latest,2024-05-28T09:46:04Z,2.6 MiB,355 µs,74.798 ms,3.438 ms,2.112 ms,80.703
10.0.0.180:5000/localredis:latest,2024-05-28T05:39:19Z,2.6 MiB,655 µs,109.27 ms,5.841 ms,3.515 ms,119.281
10.0.0.180:5000/localredis:latest,2024-05-28T11:23:06Z,2.6 MiB,477 µs,79.578 ms,4.502 ms,2.732 ms,87.289
10.0.0.180:5000/localredis:latest,2024-05-27T21:12:06Z,2.8 MiB,445 µs,84.703 ms,4.589 ms,2.844 ms,92.581
10.0.0.180:5000/localredis:latest,2024-05-27T22:13:22Z,2.6 MiB,729 µs,100.89 ms,6.05 ms,3.584 ms,111.253
10.0.0.180:5000/localredis:latest,2024-05-27T20:29:05Z,2.6 MiB,619 µs,111.18 ms,5.966 ms,3.673 ms,121.438
10.0.0.180:5000/localredis:latest,2024-05-28T00:42:44Z,2.6 MiB,636 µs,106.3 ms,5.716 ms,3.429 ms,116.081
10.0.0.180:5000/localredis:latest,2024-05-28T08:04:02Z,2.6 MiB,677 µs,104.66 ms,6.494 ms,4.287 ms,116.118
10.0.0.180:5000/localredis:latest,2024-05-28T07:44:19Z,2.6 MiB,410 µs,74.064 ms,3.72 ms,2.335 ms,80.529
10.0.0.180:5000/localredis:latest,2024-05-27T22:45:58Z,2.6 MiB,614 µs,105.11 ms,6.276 ms,3.939 ms,115.939
10.0.0.180:5000/localredis:latest,2024-05-27T22:27:51Z,2.8 MiB,401 µs,69.373 ms,3.734 ms,2.419 ms,75.927
10.0.0.180:5000/localredis:latest,2024-05-28T07:46:29Z,2.6 MiB,394 µs,73.557 ms,3.552 ms,2.154 ms,79.657
10.0.0.180:5000/localredis:latest,2024-05-27T23:12:56Z,2.8 MiB,384 µs,77.975 ms,4.12 ms,2.591 ms,85.07
10.0.0.180:5000/localredis:latest,2024-05-27T22:06:12Z,2.8 MiB,364 µs,68.851 ms,3.647 ms,2.264 ms,75.126
10.0.0.180:5000/localredis:latest,2024-05-27T21:11:29Z,2.8 MiB,400 µs,76.243 ms,3.838 ms,2.441 ms,82.922
10.0.0.180:5000/localredis:latest,2024-05-28T07:55:38Z,2.6 MiB,446 µs,73.11 ms,3.865 ms,2.399 ms,79.82
10.0.0.180:5000/localredis:latest,2024-05-27T23:10:03Z,2.8 MiB,443 µs,85.91 ms,4.485 ms,2.797 ms,93.635
10.0.0.180:5000/localredis:latest,2024-05-28T01:46:40Z,2.6 MiB,382 µs,92.621 ms,3.671 ms,2.321 ms,98.995
10.0.0.180:5000/localredis:latest,2024-05-27T21:53:08Z,2.8 MiB,389 µs,72.525 ms,3.715 ms,2.408 ms,79.037
10.0.0.180:5000/localredis:latest,2024-05-28T10:14:41Z,2.6 MiB,731 µs,124.01 ms,6.535 ms,3.862 ms,135.138
10.0.0.180:5000/localredis:latest,2024-05-28T11:17:46Z,2.6 MiB,483 µs,86.909 ms,4.721 ms,2.763 ms,94.876
10.0.0.180:5000/localredis:latest,2024-05-28T05:17:30Z,2.6 MiB,670 µs,99.077 ms,6.403 ms,3.798 ms,109.948
