Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localredis:latest,2024-05-29T06:47:30Z,3.4 MiB,645,114.19,7.104,4.762,126.701
10.0.0.180:5000/localredis:latest,2024-05-29T01:28:31Z,3.4 MiB,673,104.95,7.817,4.909,118.349
10.0.0.180:5000/localredis:latest,2024-05-29T05:23:13Z,3.4 MiB,627,117.65,6.974,4.574,129.825
10.0.0.180:5000/localredis:latest,2024-05-29T07:14:41Z,3.4 MiB,765,107.85,7.764,4.967,121.346
10.0.0.180:5000/localredis:latest,2024-05-28T22:28:57Z,3.4 MiB,963,104.45,11.231,7.639,124.283
10.0.0.180:5000/localredis:latest,2024-05-28T22:53:43Z,3.4 MiB,584,100.89,6.864,4.418,112.756
10.0.0.180:5000/localredis:latest,2024-05-29T00:39:39Z,3.4 MiB,679,96.176,7.212,4.985,109.052
10.0.0.180:5000/localredis:latest,2024-05-28T23:50:46Z,3.4 MiB,681,94.381,8.304,5.535,108.901
10.0.0.180:5000/localredis:latest,2024-05-28T21:21:15Z,3.4 MiB,603,84.811,5.385,3.364,94.163
10.0.0.180:5000/localredis:latest,2024-05-29T04:42:11Z,3.4 MiB,667,100.68,7.93,5.171,114.448
10.0.0.180:5000/localredis:latest,2024-05-29T03:41:41Z,3.4 MiB,816,107.66,6.638,4.341,119.455
10.0.0.180:5000/localredis:latest,2024-05-28T22:14:24Z,3.5 MiB,433,104.62,5.524,3.62,114.197
10.0.0.180:5000/localredis:latest,2024-05-29T07:20:50Z,3.4 MiB,622,101.26,7.687,5.153,114.722
10.0.0.180:5000/localredis:latest,2024-05-29T05:09:50Z,3.4 MiB,421,81.194,4.805,3.366,89.786
10.0.0.180:5000/localredis:latest,2024-05-29T03:14:24Z,3.4 MiB,627,97.667,6.763,4.463,109.52
10.0.0.180:5000/localredis:latest,2024-05-29T08:20:27Z,3.4 MiB,658,103.51,7.134,4.83,116.132
10.0.0.180:5000/localredis:latest,2024-05-29T07:44:02Z,3.4 MiB,635,104.81,6.794,4.529,116.768
10.0.0.180:5000/localredis:latest,2024-05-28T20:44:10Z,3.5 MiB,627,102.88,7.36,5.006,115.873
10.0.0.180:5000/localredis:latest,2024-05-29T10:24:45Z,3.4 MiB,568,88.169,5.604,3.619,97.96
10.0.0.180:5000/localredis:latest,2024-05-29T07:30:02Z,3.4 MiB,611,97.752,7.153,4.594,110.11
10.0.0.180:5000/localredis:latest,2024-05-29T09:08:50Z,3.4 MiB,680,96.156,6.966,4.653,108.455
10.0.0.180:5000/localredis:latest,2024-05-28T22:39:23Z,3.4 MiB,618,101.91,7.371,4.918,114.817
10.0.0.180:5000/localredis:latest,2024-05-29T03:07:14Z,3.4 MiB,720,108.08,7.545,4.722,121.067
10.0.0.180:5000/localredis:latest,2024-05-29T09:04:23Z,3.4 MiB,637,104.86,6.982,4.475,116.954
10.0.0.180:5000/localredis:latest,2024-05-29T03:13:42Z,3.4 MiB,638,97.644,6.932,4.537,109.751
10.0.0.180:5000/localredis:latest,2024-05-29T03:19:26Z,3.4 MiB,634,103.22,7.047,4.792,115.693
10.0.0.180:5000/localredis:latest,2024-05-29T07:36:48Z,3.4 MiB,464,84.303,5.849,3.736,94.352
10.0.0.180:5000/localredis:latest,2024-05-29T06:12:10Z,3.4 MiB,684,112.63,7.027,4.514,124.855
10.0.0.180:5000/localredis:latest,2024-05-28T22:10:36Z,3.5 MiB,686,107.28,8.343,5.36,121.669
10.0.0.180:5000/localredis:latest,2024-05-29T03:33:26Z,3.4 MiB,561,83.281,5.576,3.509,92.927
10.0.0.180:5000/localredis:latest,2024-05-28T23:38:04Z,3.4 MiB,603,118.12,6.308,4.072,129.103
10.0.0.180:5000/localredis:latest,2024-05-28T20:54:44Z,3.4 MiB,455,87.824,4.754,3.159,96.192
10.0.0.180:5000/localredis:latest,2024-05-29T08:22:54Z,3.4 MiB,677,110.58,7.696,4.844,123.797
10.0.0.180:5000/localredis:latest,2024-05-29T10:14:55Z,3.4 MiB,529,90.825,6.144,3.943,101.441
10.0.0.180:5000/localredis:latest,2024-05-29T03:20:07Z,3.4 MiB,619,110.65,6.943,4.628,122.84
10.0.0.180:5000/localredis:latest,2024-05-29T05:55:31Z,3.4 MiB,655,112.47,7.767,4.908,125.8
10.0.0.180:5000/localredis:latest,2024-05-29T03:38:11Z,3.4 MiB,671,119.36,7.847,5.046,132.924
10.0.0.180:5000/localredis:latest,2024-05-29T03:49:12Z,3.4 MiB,603,103.37,7.105,4.789,115.867
10.0.0.180:5000/localredis:latest,2024-05-29T08:17:28Z,3.4 MiB,398,74.245,4.649,3.074,82.366
10.0.0.180:5000/localredis:latest,2024-05-29T02:33:24Z,3.4 MiB,548,83.493,7.972,6.126,98.139
10.0.0.180:5000/localredis:latest,2024-05-29T03:11:05Z,3.4 MiB,720,110.31,7.176,4.793,122.999
10.0.0.180:5000/localredis:latest,2024-05-29T10:56:14Z,3.4 MiB,674,107.47,7.164,4.922,120.23
10.0.0.180:5000/localredis:latest,2024-05-29T04:10:43Z,3.4 MiB,704,100.29,7.044,4.764,112.802
10.0.0.180:5000/localredis:latest,2024-05-29T00:37:31Z,3.4 MiB,489,84.402,5.365,3.537,93.793
10.0.0.180:5000/localredis:latest,2024-05-29T03:19:16Z,3.4 MiB,609,96.933,6.978,4.707,109.227
10.0.0.180:5000/localredis:latest,2024-05-29T10:43:26Z,3.4 MiB,441,88.096,4.768,2.995,96.3
10.0.0.180:5000/localredis:latest,2024-05-29T02:11:37Z,3.4 MiB,890,105.82,7.145,4.752,118.607
10.0.0.180:5000/localredis:latest,2024-05-28T21:22:19Z,3.4 MiB,624,99.081,6.978,4.631,111.314
10.0.0.180:5000/localredis:latest,2024-05-28T22:00:25Z,3.5 MiB,660,112.22,7.726,5.034,125.64
10.0.0.180:5000/localredis:latest,2024-05-29T08:32:31Z,3.4 MiB,731,100.28,6.868,4.574,112.453
10.0.0.180:5000/localredis:latest,2024-05-29T02:09:19Z,3.4 MiB,683,105.41,7.312,4.57,117.975
10.0.0.180:5000/localredis:latest,2024-05-29T02:30:56Z,3.4 MiB,636,98.597,6.9,4.627,110.76
10.0.0.180:5000/localredis:latest,2024-05-29T03:19:47Z,3.4 MiB,626,114.22,7.11,4.878,126.834
10.0.0.180:5000/localredis:latest,2024-05-29T03:50:27Z,3.4 MiB,663,104.43,7.866,5.042,118.001
10.0.0.180:5000/localredis:latest,2024-05-29T03:17:21Z,3.4 MiB,666,106.41,7.926,4.934,119.936
10.0.0.180:5000/localredis:latest,2024-05-29T05:48:51Z,3.4 MiB,690,107.2,7.199,4.83,119.919
10.0.0.180:5000/localredis:latest,2024-05-28T21:46:57Z,3.4 MiB,475,85.287,5.133,3.375,94.27
10.0.0.180:5000/localredis:latest,2024-05-28T23:18:23Z,3.4 MiB,740,104.46,8.545,6.209,119.954
10.0.0.180:5000/localredis:latest,2024-05-28T21:32:56Z,3.4 MiB,365,74.408,4.127,2.765,81.665
10.0.0.180:5000/localredis:latest,2024-05-29T02:14:03Z,3.4 MiB,613,98.61,6.479,4.211,109.913
10.0.0.180:5000/localredis:latest,2024-05-29T06:25:03Z,3.4 MiB,697,110.72,7.78,4.969,124.166
10.0.0.180:5000/localredis:latest,2024-05-28T22:40:05Z,3.4 MiB,687,96.641,8.406,5.561,111.295
10.0.0.180:5000/localredis:latest,2024-05-29T09:09:53Z,3.4 MiB,398,79.799,4.277,2.892,87.366
10.0.0.180:5000/localredis:latest,2024-05-29T03:03:12Z,3.4 MiB,639,92.391,6.736,4.356,104.122
10.0.0.180:5000/localredis:latest,2024-05-29T00:59:26Z,3.4 MiB,589,98.086,6.476,4.149,109.3
10.0.0.180:5000/localredis:latest,2024-05-29T07:21:45Z,3.4 MiB,667,105.97,9.126,4.967,120.73
10.0.0.180:5000/localredis:latest,2024-05-29T10:22:59Z,3.4 MiB,2.709,85.104,5.628,3.659,97.1
10.0.0.180:5000/localredis:latest,2024-05-29T11:30:13Z,3.4 MiB,739,116.27,8.074,5.225,130.308
10.0.0.180:5000/localredis:latest,2024-05-28T23:56:45Z,3.4 MiB,612,94.91,7.328,4.772,107.622
10.0.0.180:5000/localredis:latest,2024-05-28T21:54:52Z,3.5 MiB,680,120.47,8.187,5.289,134.626
10.0.0.180:5000/localredis:latest,2024-05-29T02:34:06Z,3.4 MiB,663,98.566,7.406,4.698,111.333
10.0.0.180:5000/localredis:latest,2024-05-29T03:39:26Z,3.4 MiB,543,91.743,6.159,3.934,102.379
10.0.0.180:5000/localredis:latest,2024-05-29T00:45:47Z,3.4 MiB,739,101.68,8.041,5.158,115.618
10.0.0.180:5000/localredis:latest,2024-05-29T09:34:18Z,3.4 MiB,691,106.07,6.946,4.691,118.398
10.0.0.180:5000/localredis:latest,2024-05-28T22:49:10Z,3.4 MiB,652,105.04,7.117,4.497,117.306
10.0.0.180:5000/localredis:latest,2024-05-28T22:39:34Z,3.4 MiB,673,110.22,7.681,4.795,123.369
10.0.0.180:5000/localredis:latest,2024-05-28T23:54:50Z,3.4 MiB,634,108.48,6.986,4.593,120.693
10.0.0.180:5000/localredis:latest,2024-05-29T00:23:43Z,3.4 MiB,704,110.07,8.207,5.329,124.31
10.0.0.180:5000/localredis:latest,2024-05-29T01:20:25Z,3.4 MiB,400,82.196,4.314,2.854,89.764
10.0.0.180:5000/localredis:latest,2024-05-29T09:16:59Z,3.4 MiB,638,99.678,6.821,4.454,111.591
10.0.0.180:5000/localredis:latest,2024-05-29T07:47:44Z,3.4 MiB,368,76.809,4.146,2.788,84.111
10.0.0.180:5000/localredis:latest,2024-05-29T00:39:49Z,3.4 MiB,488,97.718,5.597,3.827,107.63
10.0.0.180:5000/localredis:latest,2024-05-29T09:35:11Z,3.4 MiB,2.919,103.93,5.752,3.612,116.213
10.0.0.180:5000/localredis:latest,2024-05-29T01:54:38Z,3.4 MiB,683,112.77,7.909,5.144,126.506
10.0.0.180:5000/localredis:latest,2024-05-29T07:25:25Z,3.4 MiB,353,74.911,4.327,2.876,82.467
10.0.0.180:5000/localredis:latest,2024-05-29T06:10:37Z,3.4 MiB,482,92.422,7.139,4.543,104.586
10.0.0.180:5000/localredis:latest,2024-05-28T21:07:06Z,3.5 MiB,659,101.58,8.346,5.512,116.097
10.0.0.180:5000/localredis:latest,2024-05-28T22:48:07Z,3.4 MiB,614,99.507,7.184,4.589,111.894
