,count,mean,std,min,25%,50%,75%,max,median
Freezing time,1734.0,0.3516776239907726,0.08474891734550548,0.214,0.283,0.3185,0.432,0.646,0.3185
Frozen time,1734.0,87.88073183391002,10.875862561206867,62.183,79.263,86.2715,96.14025,120.55,86.2715
Memdump time,1734.0,6.446337946943491,1.59887908405417,3.637,5.131,5.949,8.03,10.955,5.949
Memwrite time,1734.0,4.445069780853525,1.2278808758240252,2.432,3.493,4.0280000000000005,5.36775,8.193,4.0280000000000005
Total dump time,1734.0,99.12381718569796,12.828153264262415,69.202,89.21025,96.875,109.2555,138.666,96.875
