,count,mean,std,min,25%,50%,75%,max,median
Index,1096.0,548.5,316.5322521745085,1.0,274.75,548.5,822.25,1096.0,548.5
 Checkpoint Creation,1096.0,274.50182481751824,46.38815779788644,192.0,230.0,277.0,314.0,397.0,277.0
 Checkpoint Location,1096.0,3.489051094890511,0.6715813908307898,2.0,3.0,3.0,4.0,14.0,3.0
 Permission Change,1096.0,11.197992700729927,1.2452780525879223,9.0,11.0,11.0,12.0,20.0,11.0
 Image Creation,1096.0,392.485401459854,30.079282853945017,343.0,376.0,386.0,401.0,668.0,386.0
 Image Push,1096.0,763.7810218978102,82.14437365712257,628.0,709.0,747.0,797.0,1251.0,747.0
 Pod Ready,1096.0,1725.7089416058395,388.3005922102644,332.0,1416.0,1724.0,1992.75,2939.0,1724.0
 Total,1096.0,3384.2162408759123,442.5380367016761,1950.0,3046.0,3352.0,3625.25,4825.0,3352.0
