,count,mean,std,min,25%,50%,75%,max,median
Index,1053.0,527.0,304.11922004371905,1.0,264.0,527.0,790.0,1053.0,527.0
 Checkpoint Creation,1053.0,333.67236467236467,58.70642924264779,234.0,281.0,328.0,385.0,528.0,328.0
 Checkpoint Location,1053.0,3.792022792022792,0.8281254838311192,2.0,3.0,4.0,4.0,8.0,4.0
 Permission Change,1053.0,11.248812915479583,1.8283807730032013,9.0,10.0,11.0,12.0,22.0,11.0
 Image Creation,1053.0,450.04938271604937,50.863788056485724,384.0,425.0,440.0,454.0,751.0,440.0
 Image Push,1053.0,1001.5574548907882,85.6462004310122,867.0,954.0,985.0,1020.0,1486.0,985.0
 Pod Ready,1053.0,1805.3200379867046,370.56275560739334,365.0,1525.0,1791.0,2062.0,3910.0,1791.0
 Total,1053.0,3826.0465337132005,425.9342144708377,2229.0,3507.0,3778.0,4078.0,5794.0,3778.0
