,count,mean,std,min,25%,50%,75%,max,median
Freezing time,1053.0,2.7240436847103524,0.08631622376627306,2.511,2.667,2.724,2.783,2.954,2.724
Frozen time,1053.0,228.45555555555555,9.557400662023579,199.61,220.73,228.9,235.54,254.28,228.9
Memdump time,1053.0,108.95020797720785,5.779086529171143,93.676,104.13,110.18,113.16,127.01,110.18
Memwrite time,1053.0,82.87456125356123,3.298499473245251,73.887,80.525,82.981,84.815,91.424,82.981
Total dump time,1053.0,423.0043684710353,17.31325444107162,379.041,407.867,425.091,436.171,469.126,425.091
