,count,mean,std,min,25%,50%,75%,max,median
Freezing time,525.0,2.721742857142854,0.08535190161995085,2.497,2.664,2.724,2.775,2.941,2.724
Frozen time,525.0,201.69422857142868,9.265632160676809,177.38,195.14,201.76,208.3,227.93,201.76
Memdump time,525.0,84.93577523809525,4.546366209704677,74.326,81.371,85.239,88.266,96.025,85.239
Memwrite time,525.0,62.45709333333334,3.0507026898040395,54.717,60.646,61.967,64.636,70.532,61.967
Total dump time,525.0,351.8088400000002,14.988074514041935,314.751,341.034,352.227,362.349,390.692,352.227
