,count,mean,std,min,25%,50%,75%,max,median
 Checkpoint Creation,1130.0,2132.5318584070797,143.004739412122,1824.0,2055.0,2105.0,2168.75,3209.0,2105.0
 Checkpoint Location,1130.0,6.463716814159292,0.7558525060922374,4.0,6.0,6.0,7.0,10.0,6.0
 Permission Change,1130.0,18.18938053097345,1.501541152885986,13.0,17.0,18.0,19.0,32.0,18.0
 Image Creation,1130.0,2460.1761061946904,137.25759518389611,2165.0,2372.0,2437.5,2533.75,3190.0,2437.5
 Image Push,1130.0,10909.565486725664,481.73538309066305,9575.0,10591.25,10858.0,11162.75,13337.0,10858.0
 Pod Ready,1130.0,4828.11592920354,375.85505212331526,4026.0,4537.0,4813.0,5092.0,7600.0,4813.0
 Total,1130.0,20671.753097345132,642.8371087405601,18861.0,20201.5,20781.0,21140.5,23911.0,20781.0
