,count,mean,std,min,25%,50%,75%,max,median
Freezing time,1035.0,0.528909178743961,0.14249416650587143,0.321,0.398,0.456,0.658,0.943,0.456
Frozen time,1035.0,98.98102898550707,14.79566472062919,69.489,86.124,96.163,112.10499999999999,140.82,96.163
Memdump time,1035.0,15.122244444444451,4.031762878478128,9.269,11.4945,13.485,18.7125,27.276,13.485
Memwrite time,1035.0,12.459169082125605,3.261723770484341,7.563,9.6705,10.985,15.421,23.989,10.985
Total dump time,1035.0,127.0913516908214,21.5017885015629,87.661,107.608,120.589,146.152,190.136,120.589
