,count,mean,std,min,25%,50%,75%,max,median
Freezing time,1295.0,0.6619544401544409,0.03632393661098616,0.558,0.634,0.658,0.685,0.764,0.658
Frozen time,1295.0,191.89978378378385,10.710335087972068,165.64,183.945,191.33,199.49,221.08,191.33
Memdump time,1295.0,97.02570347490337,6.382934814936365,82.09,92.81649999999999,96.165,101.5,114.81,96.165
Memwrite time,1295.0,86.11919227799234,4.47010785626223,74.374,83.25800000000001,85.962,89.084,98.011,85.962
Total dump time,1295.0,375.7066339768341,20.007662382284476,324.053,361.6375,373.733,389.76750000000004,429.95,373.733
