,count,mean,std,min,25%,50%,75%,max,median
Index,1030.0,661.6932038834951,464.1499697451344,1.0,258.25,560.5,1059.5,1573.0,560.5
 Checkpoint Creation,1030.0,1039.8514563106796,238.5240131153846,118.0,1014.25,1075.0,1141.0,1549.0,1075.0
 Checkpoint Location,1030.0,6.50873786407767,0.918136744635389,5.0,6.0,6.0,7.0,13.0,6.0
 Permission Change,1030.0,18.402912621359224,1.6518656478944636,13.0,17.0,18.0,19.0,27.0,18.0
 Image Creation,1030.0,1214.36213592233,71.91587464224949,1020.0,1164.0,1210.0,1258.75,1493.0,1210.0
 Image Push,1030.0,5536.9514563106795,1875.3015170777578,2766.0,4312.0,4596.0,7390.25,10639.0,4596.0
 Pod Ready,1030.0,3231.6368932038836,1180.7933687924885,1165.0,1904.5,3746.5,4197.5,5884.0,3746.5
 Total,1030.0,11364.488349514562,1539.2341751114714,6006.0,10956.75,11359.0,11993.75,17249.0,11359.0
