Image,Checkpointed,Checkpoint size,Freezing time,Frozen time,Memdump time,Memwrite time,Total dump time
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,282,76.354,5.567,3.798,86.001
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,498,91.499,7.885,5.287,105.169
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,275,77.83,4.812,3.161,86.078
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,466,96.729,8.654,5.743,111.592
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,221,74.474,3.781,2.495,80.971
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,330,82.803,6.306,4.053,93.492
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,271,82.016,4.724,3.103,90.114
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,521,103.98,8.535,5.618,118.654
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,274,74.262,5.298,3.924,83.758
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,429,93.349,5.147,3.518,102.443
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,253,66.803,4.69,3.114,74.86
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,492,108.84,8.161,5.266,122.759
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,272,88.396,5.127,3.759,97.554
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,249,99.357,4.285,3.089,106.98
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,256,74.494,4.927,3.3,82.977
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,417,100.56,8.038,5.418,114.433
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,264,73.399,4.54,3.21,81.413
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,417,99.605,7.769,5.111,112.902
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,357,77.248,4.848,3.125,85.578
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,517,96.081,7.55,4.977,109.125
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,261,76.479,5.437,3.381,85.558
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,280,100.62,4.463,3.072,108.435
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,290,92.082,5.379,3.505,101.256
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,482,95.105,8.043,5.308,108.938
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,289,86.673,5.447,3.55,95.959
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,433,103.17,7.911,5.183,116.697
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,274,85.419,4.758,3.099,93.55
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,440,102.3,8.28,5.497,116.517
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,277,73.972,4.815,3.128,82.192
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,496,103.01,7.542,4.846,115.894
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,357,77.655,4.37,2.717,85.099
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,433,91.523,8.114,5.448,105.518
10.0.0.180:5000/localcpusinglecore:latest,26/05/2024,4.3 MiB,429,71.363,4.074,2.765,78.631
